symbol,value
…,0
™,1
”,2
„,3
š,4
—,5
”,6
’,7
Ž,8
Š,9
Š,10
œ,11
œ,12
–,13
œ,14
’,15
€,16
š,17
˜,18
’,19
‘,20
”,21
œ,22
’,23
’,24
–,25
“,26
—,27
ƒ,28
Œ,29
€,30
Œ,31
š,32
›,33
œ,34
‘,35
œ,36
‘,37
ƒ,38
–,39
…,40
€,41
…,42
Ÿ,43
ž,44
’,45
›,46
’,47
“,48
”,49
”,50
˜,51
‚,52
‚,53
š,54
‡,55
…,56
‘,57
‡,58
€,59
Ž,60
‹,61
Ž,62
Ž,63
Ž,64
…,65
š,66
Ÿ,67
™,68
ˆ,69
–,70
•,71
˜,72
Œ,73
”,74
˜,75
•,76
„,77
Ÿ,78
„,79
™,80
ƒ,81
“,82
’,83
‰,84
…,85
œ,86
‰,87
”,88
…,89
Ž,90
€,91
‘,92
–,93
ž,94
‚,95
Š,96
ƒ,97
”,98
–,99
€,100
™,101
’,102
Ÿ,103
“,104
Ž,105
–,106
š,107
„,108
†,109
“,110
‘,111
š,112
‹,113
•,114
š,115
€,116
•,117
‹,118
Ž,119
›,120
—,121
š,122
œ,123
‡,124
…,125
“,126
”,127
ž,128
ƒ,129
’,130
Ÿ,131
™,132
œ,133
Ž,134
•,135
†,136
—,137
›,138
‚,139
ž,140
‡,141
ž,142
Š,143
ˆ,144
ž,145
Ž,146
Œ,147
“,148
ž,149
“,150
‡,151
–,152
Ž,153
–,154
ž,155
–,156
Œ,157
—,158
ž,159
€,160
–,161
œ,162
„,163
—,164
œ,165
–,166
’,167
‹,168
ž,169
š,170
Š,171
‹,172
—,173
‹,174
ˆ,175
’,176
’,177
‚,178
Ÿ,179
Š,180
ž,181
–,182
—,183
‚,184
‰,185
–,186
€,187
œ,188
ž,189
‘,190
›,191
Š,192
†,193
œ,194
’,195
•,196
”,197
‰,198
’,199
ƒ,200
‹,201
š,202
œ,203
ˆ,204
œ,205
’,206
–,207
Š,208
Ÿ,209
‡,210
”,211
ƒ,212
Œ,213
œ,214
Ž,215
Ÿ,216
ˆ,217
ž,218
Ÿ,219
•,220
—,221
‘,222
…,223
ƒ,224
›,225
…,226
ˆ,227
‘,228
Ÿ,229
‘,230
Œ,231
œ,232
„,233
ˆ,234
—,235
ž,236
ƒ,237
‚,238
†,239
ž,240
’,241
”,242
•,243
Ž,244
“,245
”,246
„,247
™,248
š,249
“,250
Ÿ,251
Œ,252
‚,253
“,254
œ,255
‚,256
œ,257
–,258
‘,259
š,260
›,261
†,262
Ž,263
ˆ,264
•,265
œ,266
‡,267
’,268
‘,269
Œ,270
—,271
•,272
”,273
Ž,274
”,275
Œ,276
™,277
‚,278
ˆ,279
–,280
…,281
€,282
ƒ,283
’,284
’,285
‹,286
œ,287
„,288
‘,289
„,290
‚,291
„,292
–,293
–,294
‰,295
…,296
”,297
ƒ,298
—,299
‹,300
Ž,301
€,302
‚,303
‡,304
›,305
‰,306
•,307
‘,308
’,309
‘,310
Ž,311
“,312
Ž,313
‹,314
ž,315
š,316
“,317
†,318
œ,319
›,320
ž,321
™,322
…,323
–,324
‹,325
™,326
Œ,327
‘,328
‘,329
ˆ,330
œ,331
ƒ,332
“,333
…,334
…,335
‡,336
”,337
‘,338
‚,339
ˆ,340
†,341
ˆ,342
—,343
›,344
Š,345
€,346
Œ,347
’,348
“,349
„,350
™,351
‡,352
ž,353
„,354
…,355
“,356
‘,357
›,358
Œ,359
”,360
ˆ,361
‰,362
‹,363
œ,364
›,365
ˆ,366
ƒ,367
…,368
‚,369
ƒ,370
Ž,371
ž,372
ˆ,373
‚,374
›,375
ƒ,376
Ÿ,377
‘,378
†,379
—,380
™,381
•,382
•,383
‚,384
’,385
‰,386
ž,387
‚,388
‘,389
Œ,390
„,391
„,392
Ÿ,393
‰,394
”,395
„,396
€,397
œ,398
—,399
–,400
–,401
Œ,402
•,403
ž,404
‚,405
Œ,406
•,407
‹,408
Ž,409
”,410
‹,411
–,412
š,413
ˆ,414
™,415
‚,416
‰,417
™,418
œ,419
‹,420
‘,421
†,422
“,423
œ,424
Œ,425
˜,426
‚,427
‚,428
—,429
“,430
’,431
ˆ,432
”,433
€,434
•,435
‡,436
‹,437
œ,438
Ž,439
“,440
‰,441
Ÿ,442
œ,443
•,444
Š,445
š,446
Ÿ,447
ƒ,448
›,449
ž,450
—,451
Ÿ,452
š,453
’,454
‹,455
™,456
™,457
ˆ,458
ƒ,459
”,460
†,461
›,462
œ,463
‰,464
€,465
ž,466
›,467
Ž,468
—,469
…,470
…,471
ƒ,472
›,473
‚,474
‚,475
“,476
…,477
‰,478
€,479
Œ,480
Š,481
“,482
š,483
‹,484
‹,485
–,486
…,487
Š,488
„,489
ˆ,490
™,491
ˆ,492
™,493
™,494
‡,495
›,496
ˆ,497
‚,498
†,499
